1949	0.04
1950	0.19
1951	0.35
1952	0.71
1953	0.71
1954	0.81
1955	1
1956	0.54
1957	0.82
1958	0.81
1959	0.79
1960	0.79
1961	0.25
1962	0.33
1963	0.32
1964	0.35
1965	0.46
1966	0.5
1967	0.52
1968	0.58
1969	0.66
1970	0.68
1971	0.64
1972	0.66
1973	0.6
1974	0.39
1975	0.19
1976	0.08
1977	0.12
1978	0.23
1979	0.15
1980	0.19
1981	0.17
1982	0.08
1983	0.06
1984	0.15
1985	0.15
1986	0.17
1987	0.15
1988	0.19
1989	0.12
1990	0.15
1991	0.1
1992	0.02
1993	0.01
1994	0
1995	0.01
1996	0.03
1997	0.06
1998	0.13
